table,column,data_type,nullable,description
legacy_entity_004,end_date,DATE,YES,End date
legacy_entity_004,created_by,VARCHAR(50),YES,Audit
legacy_entity_004,created_ts,TIMESTAMP,NO,Audit
legacy_entity_004,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_005,id_005,VARCHAR(20),NO,Primary key
legacy_entity_005,name,VARCHAR(200),NO,Display name
legacy_entity_005,code,VARCHAR(50),YES,Business code
legacy_entity_005,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_005,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_005,quantity,INTEGER,YES,Numeric quantity
legacy_entity_005,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_005,start_date,DATE,YES,Start date
legacy_entity_005,end_date,DATE,YES,End date
legacy_entity_005,created_by,VARCHAR(50),YES,Audit
legacy_entity_005,created_ts,TIMESTAMP,NO,Audit
legacy_entity_005,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_006,id_006,VARCHAR(20),NO,Primary key
legacy_entity_006,name,VARCHAR(200),NO,Display name
legacy_entity_006,code,VARCHAR(50),YES,Business code
legacy_entity_006,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_006,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_006,quantity,INTEGER,YES,Numeric quantity
legacy_entity_006,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_006,start_date,DATE,YES,Start date
legacy_entity_006,end_date,DATE,YES,End date
legacy_entity_006,created_by,VARCHAR(50),YES,Audit
legacy_entity_006,created_ts,TIMESTAMP,NO,Audit
legacy_entity_006,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_007,id_007,VARCHAR(20),NO,Primary key
legacy_entity_007,name,VARCHAR(200),NO,Display name
legacy_entity_007,code,VARCHAR(50),YES,Business code
legacy_entity_007,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_007,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_007,quantity,INTEGER,YES,Numeric quantity
legacy_entity_007,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_007,start_date,DATE,YES,Start date
legacy_entity_007,end_date,DATE,YES,End date
legacy_entity_007,created_by,VARCHAR(50),YES,Audit
legacy_entity_007,created_ts,TIMESTAMP,NO,Audit
legacy_entity_007,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_008,id_008,VARCHAR(20),NO,Primary key
legacy_entity_008,name,VARCHAR(200),NO,Display name
legacy_entity_008,code,VARCHAR(50),YES,Business code
legacy_entity_008,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_008,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_008,quantity,INTEGER,YES,Numeric quantity
legacy_entity_008,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_008,start_date,DATE,YES,Start date
legacy_entity_008,end_date,DATE,YES,End date
legacy_entity_008,created_by,VARCHAR(50),YES,Audit
legacy_entity_008,created_ts,TIMESTAMP,NO,Audit
legacy_entity_008,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_009,id_009,VARCHAR(20),NO,Primary key
legacy_entity_009,name,VARCHAR(200),NO,Display name
legacy_entity_009,code,VARCHAR(50),YES,Business code
legacy_entity_009,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_009,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_009,quantity,INTEGER,YES,Numeric quantity
legacy_entity_009,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_009,start_date,DATE,YES,Start date
legacy_entity_009,end_date,DATE,YES,End date
legacy_entity_009,created_by,VARCHAR(50),YES,Audit
legacy_entity_009,created_ts,TIMESTAMP,NO,Audit
legacy_entity_009,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_010,id_010,VARCHAR(20),NO,Primary key
legacy_entity_010,name,VARCHAR(200),NO,Display name
legacy_entity_010,code,VARCHAR(50),YES,Business code
legacy_entity_010,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_010,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_010,quantity,INTEGER,YES,Numeric quantity
legacy_entity_010,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_010,start_date,DATE,YES,Start date
legacy_entity_010,end_date,DATE,YES,End date
legacy_entity_010,created_by,VARCHAR(50),YES,Audit
legacy_entity_010,created_ts,TIMESTAMP,NO,Audit
legacy_entity_010,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_011,id_011,VARCHAR(20),NO,Primary key
legacy_entity_011,name,VARCHAR(200),NO,Display name
legacy_entity_011,code,VARCHAR(50),YES,Business code
legacy_entity_011,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_011,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_011,quantity,INTEGER,YES,Numeric quantity
legacy_entity_011,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_011,start_date,DATE,YES,Start date
legacy_entity_011,end_date,DATE,YES,End date
legacy_entity_011,created_by,VARCHAR(50),YES,Audit
legacy_entity_011,created_ts,TIMESTAMP,NO,Audit
legacy_entity_011,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_012,id_012,VARCHAR(20),NO,Primary key
legacy_entity_012,name,VARCHAR(200),NO,Display name
legacy_entity_012,code,VARCHAR(50),YES,Business code
legacy_entity_012,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_012,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_012,quantity,INTEGER,YES,Numeric quantity
legacy_entity_012,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_012,start_date,DATE,YES,Start date
legacy_entity_012,end_date,DATE,YES,End date
legacy_entity_012,created_by,VARCHAR(50),YES,Audit
legacy_entity_012,created_ts,TIMESTAMP,NO,Audit
legacy_entity_012,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_013,id_013,VARCHAR(20),NO,Primary key
legacy_entity_013,name,VARCHAR(200),NO,Display name
legacy_entity_013,code,VARCHAR(50),YES,Business code
legacy_entity_013,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_013,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_013,quantity,INTEGER,YES,Numeric quantity
legacy_entity_013,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_013,start_date,DATE,YES,Start date
legacy_entity_013,end_date,DATE,YES,End date
legacy_entity_013,created_by,VARCHAR(50),YES,Audit
legacy_entity_013,created_ts,TIMESTAMP,NO,Audit
legacy_entity_013,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_014,id_014,VARCHAR(20),NO,Primary key
legacy_entity_014,name,VARCHAR(200),NO,Display name
legacy_entity_014,code,VARCHAR(50),YES,Business code
legacy_entity_014,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_014,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_014,quantity,INTEGER,YES,Numeric quantity
legacy_entity_014,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_014,start_date,DATE,YES,Start date
legacy_entity_014,end_date,DATE,YES,End date
legacy_entity_014,created_by,VARCHAR(50),YES,Audit
legacy_entity_014,created_ts,TIMESTAMP,NO,Audit
legacy_entity_014,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_015,id_015,VARCHAR(20),NO,Primary key
legacy_entity_015,name,VARCHAR(200),NO,Display name
legacy_entity_015,code,VARCHAR(50),YES,Business code
legacy_entity_015,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_015,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_015,quantity,INTEGER,YES,Numeric quantity
legacy_entity_015,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_015,start_date,DATE,YES,Start date
legacy_entity_015,end_date,DATE,YES,End date
legacy_entity_015,created_by,VARCHAR(50),YES,Audit
legacy_entity_015,created_ts,TIMESTAMP,NO,Audit
legacy_entity_015,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_016,id_016,VARCHAR(20),NO,Primary key
legacy_entity_016,name,VARCHAR(200),NO,Display name
legacy_entity_016,code,VARCHAR(50),YES,Business code
legacy_entity_016,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_016,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_016,quantity,INTEGER,YES,Numeric quantity
legacy_entity_016,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_016,start_date,DATE,YES,Start date
legacy_entity_016,end_date,DATE,YES,End date
legacy_entity_016,created_by,VARCHAR(50),YES,Audit
legacy_entity_016,created_ts,TIMESTAMP,NO,Audit
legacy_entity_016,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_017,id_017,VARCHAR(20),NO,Primary key
legacy_entity_017,name,VARCHAR(200),NO,Display name
legacy_entity_017,code,VARCHAR(50),YES,Business code
legacy_entity_017,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_017,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_017,quantity,INTEGER,YES,Numeric quantity
legacy_entity_017,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_017,start_date,DATE,YES,Start date
legacy_entity_017,end_date,DATE,YES,End date
legacy_entity_017,created_by,VARCHAR(50),YES,Audit
legacy_entity_017,created_ts,TIMESTAMP,NO,Audit
legacy_entity_017,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_018,id_018,VARCHAR(20),NO,Primary key
legacy_entity_018,name,VARCHAR(200),NO,Display name
legacy_entity_018,code,VARCHAR(50),YES,Business code
legacy_entity_018,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_018,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_018,quantity,INTEGER,YES,Numeric quantity
legacy_entity_018,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_018,start_date,DATE,YES,Start date
legacy_entity_018,end_date,DATE,YES,End date
legacy_entity_018,created_by,VARCHAR(50),YES,Audit
legacy_entity_018,created_ts,TIMESTAMP,NO,Audit
legacy_entity_018,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_019,id_019,VARCHAR(20),NO,Primary key
legacy_entity_019,name,VARCHAR(200),NO,Display name
legacy_entity_019,code,VARCHAR(50),YES,Business code
legacy_entity_019,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_019,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_019,quantity,INTEGER,YES,Numeric quantity
legacy_entity_019,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_019,start_date,DATE,YES,Start date
legacy_entity_019,end_date,DATE,YES,End date
legacy_entity_019,created_by,VARCHAR(50),YES,Audit
legacy_entity_019,created_ts,TIMESTAMP,NO,Audit
legacy_entity_019,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_020,id_020,VARCHAR(20),NO,Primary key
legacy_entity_020,name,VARCHAR(200),NO,Display name
legacy_entity_020,code,VARCHAR(50),YES,Business code
legacy_entity_020,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_020,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_020,quantity,INTEGER,YES,Numeric quantity
legacy_entity_020,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_020,start_date,DATE,YES,Start date
legacy_entity_020,end_date,DATE,YES,End date
legacy_entity_020,created_by,VARCHAR(50),YES,Audit
legacy_entity_020,created_ts,TIMESTAMP,NO,Audit
legacy_entity_020,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_021,id_021,VARCHAR(20),NO,Primary key
legacy_entity_021,name,VARCHAR(200),NO,Display name
legacy_entity_021,code,VARCHAR(50),YES,Business code
legacy_entity_021,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_021,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_021,quantity,INTEGER,YES,Numeric quantity
legacy_entity_021,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_021,start_date,DATE,YES,Start date
legacy_entity_021,end_date,DATE,YES,End date
legacy_entity_021,created_by,VARCHAR(50),YES,Audit
legacy_entity_021,created_ts,TIMESTAMP,NO,Audit
legacy_entity_021,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_022,id_022,VARCHAR(20),NO,Primary key
legacy_entity_022,name,VARCHAR(200),NO,Display name
legacy_entity_022,code,VARCHAR(50),YES,Business code
legacy_entity_022,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_022,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_022,quantity,INTEGER,YES,Numeric quantity
legacy_entity_022,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_022,start_date,DATE,YES,Start date
legacy_entity_022,end_date,DATE,YES,End date
legacy_entity_022,created_by,VARCHAR(50),YES,Audit
legacy_entity_022,created_ts,TIMESTAMP,NO,Audit
legacy_entity_022,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_023,id_023,VARCHAR(20),NO,Primary key
legacy_entity_023,name,VARCHAR(200),NO,Display name
legacy_entity_023,code,VARCHAR(50),YES,Business code
legacy_entity_023,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_023,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_023,quantity,INTEGER,YES,Numeric quantity
legacy_entity_023,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_023,start_date,DATE,YES,Start date
legacy_entity_023,end_date,DATE,YES,End date
legacy_entity_023,created_by,VARCHAR(50),YES,Audit
legacy_entity_023,created_ts,TIMESTAMP,NO,Audit
legacy_entity_023,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_024,id_024,VARCHAR(20),NO,Primary key
legacy_entity_024,name,VARCHAR(200),NO,Display name
legacy_entity_024,code,VARCHAR(50),YES,Business code
legacy_entity_024,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_024,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_024,quantity,INTEGER,YES,Numeric quantity
legacy_entity_024,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_024,start_date,DATE,YES,Start date
legacy_entity_024,end_date,DATE,YES,End date
legacy_entity_024,created_by,VARCHAR(50),YES,Audit
legacy_entity_024,created_ts,TIMESTAMP,NO,Audit
legacy_entity_024,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_025,id_025,VARCHAR(20),NO,Primary key
legacy_entity_025,name,VARCHAR(200),NO,Display name
legacy_entity_025,code,VARCHAR(50),YES,Business code
legacy_entity_025,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_025,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_025,quantity,INTEGER,YES,Numeric quantity
legacy_entity_025,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_025,start_date,DATE,YES,Start date
legacy_entity_025,end_date,DATE,YES,End date
legacy_entity_025,created_by,VARCHAR(50),YES,Audit
legacy_entity_025,created_ts,TIMESTAMP,NO,Audit
legacy_entity_025,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_026,id_026,VARCHAR(20),NO,Primary key
legacy_entity_026,name,VARCHAR(200),NO,Display name
legacy_entity_026,code,VARCHAR(50),YES,Business code
legacy_entity_026,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_026,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_026,quantity,INTEGER,YES,Numeric quantity
legacy_entity_026,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_026,start_date,DATE,YES,Start date
legacy_entity_026,end_date,DATE,YES,End date
legacy_entity_026,created_by,VARCHAR(50),YES,Audit
legacy_entity_026,created_ts,TIMESTAMP,NO,Audit
legacy_entity_026,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_027,id_027,VARCHAR(20),NO,Primary key
legacy_entity_027,name,VARCHAR(200),NO,Display name
legacy_entity_027,code,VARCHAR(50),YES,Business code
legacy_entity_027,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_027,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_027,quantity,INTEGER,YES,Numeric quantity
legacy_entity_027,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_027,start_date,DATE,YES,Start date
legacy_entity_027,end_date,DATE,YES,End date
legacy_entity_027,created_by,VARCHAR(50),YES,Audit
legacy_entity_027,created_ts,TIMESTAMP,NO,Audit
legacy_entity_027,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_028,id_028,VARCHAR(20),NO,Primary key
legacy_entity_028,name,VARCHAR(200),NO,Display name
legacy_entity_028,code,VARCHAR(50),YES,Business code
legacy_entity_028,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_028,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_028,quantity,INTEGER,YES,Numeric quantity
legacy_entity_028,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_028,start_date,DATE,YES,Start date
legacy_entity_028,end_date,DATE,YES,End date
legacy_entity_028,created_by,VARCHAR(50),YES,Audit
legacy_entity_028,created_ts,TIMESTAMP,NO,Audit
legacy_entity_028,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_029,id_029,VARCHAR(20),NO,Primary key
legacy_entity_029,name,VARCHAR(200),NO,Display name
legacy_entity_029,code,VARCHAR(50),YES,Business code
legacy_entity_029,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_029,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_029,quantity,INTEGER,YES,Numeric quantity
legacy_entity_029,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_029,start_date,DATE,YES,Start date
legacy_entity_029,end_date,DATE,YES,End date
legacy_entity_029,created_by,VARCHAR(50),YES,Audit
legacy_entity_029,created_ts,TIMESTAMP,NO,Audit
legacy_entity_029,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_030,id_030,VARCHAR(20),NO,Primary key
legacy_entity_030,name,VARCHAR(200),NO,Display name
legacy_entity_030,code,VARCHAR(50),YES,Business code
legacy_entity_030,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_030,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_030,quantity,INTEGER,YES,Numeric quantity
legacy_entity_030,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_030,start_date,DATE,YES,Start date
legacy_entity_030,end_date,DATE,YES,End date
legacy_entity_030,created_by,VARCHAR(50),YES,Audit
legacy_entity_030,created_ts,TIMESTAMP,NO,Audit
legacy_entity_030,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_031,id_031,VARCHAR(20),NO,Primary key
legacy_entity_031,name,VARCHAR(200),NO,Display name
legacy_entity_031,code,VARCHAR(50),YES,Business code
legacy_entity_031,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_031,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_031,quantity,INTEGER,YES,Numeric quantity
legacy_entity_031,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_031,start_date,DATE,YES,Start date
legacy_entity_031,end_date,DATE,YES,End date
legacy_entity_031,created_by,VARCHAR(50),YES,Audit
legacy_entity_031,created_ts,TIMESTAMP,NO,Audit
legacy_entity_031,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_032,id_032,VARCHAR(20),NO,Primary key
legacy_entity_032,name,VARCHAR(200),NO,Display name
legacy_entity_032,code,VARCHAR(50),YES,Business code
legacy_entity_032,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_032,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_032,quantity,INTEGER,YES,Numeric quantity
legacy_entity_032,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_032,start_date,DATE,YES,Start date
legacy_entity_032,end_date,DATE,YES,End date
legacy_entity_032,created_by,VARCHAR(50),YES,Audit
legacy_entity_032,created_ts,TIMESTAMP,NO,Audit
legacy_entity_032,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_033,id_033,VARCHAR(20),NO,Primary key
legacy_entity_033,name,VARCHAR(200),NO,Display name
legacy_entity_033,code,VARCHAR(50),YES,Business code
legacy_entity_033,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_033,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_033,quantity,INTEGER,YES,Numeric quantity
legacy_entity_033,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_033,start_date,DATE,YES,Start date
legacy_entity_033,end_date,DATE,YES,End date
legacy_entity_033,created_by,VARCHAR(50),YES,Audit
legacy_entity_033,created_ts,TIMESTAMP,NO,Audit
legacy_entity_033,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_034,id_034,VARCHAR(20),NO,Primary key
legacy_entity_034,name,VARCHAR(200),NO,Display name
legacy_entity_034,code,VARCHAR(50),YES,Business code
legacy_entity_034,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_034,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_034,quantity,INTEGER,YES,Numeric quantity
legacy_entity_034,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_034,start_date,DATE,YES,Start date
legacy_entity_034,end_date,DATE,YES,End date
legacy_entity_034,created_by,VARCHAR(50),YES,Audit
legacy_entity_034,created_ts,TIMESTAMP,NO,Audit
legacy_entity_034,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_035,id_035,VARCHAR(20),NO,Primary key
legacy_entity_035,name,VARCHAR(200),NO,Display name
legacy_entity_035,code,VARCHAR(50),YES,Business code
legacy_entity_035,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_035,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_035,quantity,INTEGER,YES,Numeric quantity
legacy_entity_035,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_035,start_date,DATE,YES,Start date
legacy_entity_035,end_date,DATE,YES,End date
legacy_entity_035,created_by,VARCHAR(50),YES,Audit
legacy_entity_035,created_ts,TIMESTAMP,NO,Audit
legacy_entity_035,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_036,id_036,VARCHAR(20),NO,Primary key
legacy_entity_036,name,VARCHAR(200),NO,Display name
legacy_entity_036,code,VARCHAR(50),YES,Business code
legacy_entity_036,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_036,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_036,quantity,INTEGER,YES,Numeric quantity
legacy_entity_036,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_036,start_date,DATE,YES,Start date
legacy_entity_036,end_date,DATE,YES,End date
legacy_entity_036,created_by,VARCHAR(50),YES,Audit
legacy_entity_036,created_ts,TIMESTAMP,NO,Audit
legacy_entity_036,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_037,id_037,VARCHAR(20),NO,Primary key
legacy_entity_037,name,VARCHAR(200),NO,Display name
legacy_entity_037,code,VARCHAR(50),YES,Business code
legacy_entity_037,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_037,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_037,quantity,INTEGER,YES,Numeric quantity
legacy_entity_037,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_037,start_date,DATE,YES,Start date
legacy_entity_037,end_date,DATE,YES,End date
legacy_entity_037,created_by,VARCHAR(50),YES,Audit
legacy_entity_037,created_ts,TIMESTAMP,NO,Audit
legacy_entity_037,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_038,id_038,VARCHAR(20),NO,Primary key
legacy_entity_038,name,VARCHAR(200),NO,Display name
legacy_entity_038,code,VARCHAR(50),YES,Business code
legacy_entity_038,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_038,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_038,quantity,INTEGER,YES,Numeric quantity
legacy_entity_038,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_038,start_date,DATE,YES,Start date
legacy_entity_038,end_date,DATE,YES,End date
legacy_entity_038,created_by,VARCHAR(50),YES,Audit
legacy_entity_038,created_ts,TIMESTAMP,NO,Audit
legacy_entity_038,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_039,id_039,VARCHAR(20),NO,Primary key
legacy_entity_039,name,VARCHAR(200),NO,Display name
legacy_entity_039,code,VARCHAR(50),YES,Business code
legacy_entity_039,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_039,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_039,quantity,INTEGER,YES,Numeric quantity
legacy_entity_039,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_039,start_date,DATE,YES,Start date
legacy_entity_039,end_date,DATE,YES,End date
legacy_entity_039,created_by,VARCHAR(50),YES,Audit
legacy_entity_039,created_ts,TIMESTAMP,NO,Audit
