table,column,data_type,nullable,description
target_entity_003,id,UUID,NO,Primary key
target_entity_003,name,VARCHAR(255),NO,Display name
target_entity_003,external_id,VARCHAR(100),YES,External system id
target_entity_003,status,VARCHAR(20),NO,Entity status
target_entity_003,amount_cents,BIGINT,YES,Amount in cents
target_entity_003,quantity,INTEGER,YES,Quantity
target_entity_003,parent_id,UUID,YES,Parent reference
target_entity_003,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_003,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_003,metadata,JSONB,YES,Additional metadata
target_entity_003,created_at,TIMESTAMPTZ,NO,Audit
target_entity_003,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_004,id,UUID,NO,Primary key
target_entity_004,name,VARCHAR(255),NO,Display name
target_entity_004,external_id,VARCHAR(100),YES,External system id
target_entity_004,status,VARCHAR(20),NO,Entity status
target_entity_004,amount_cents,BIGINT,YES,Amount in cents
target_entity_004,quantity,INTEGER,YES,Quantity
target_entity_004,parent_id,UUID,YES,Parent reference
target_entity_004,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_004,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_004,metadata,JSONB,YES,Additional metadata
target_entity_004,created_at,TIMESTAMPTZ,NO,Audit
target_entity_004,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_005,id,UUID,NO,Primary key
target_entity_005,name,VARCHAR(255),NO,Display name
target_entity_005,external_id,VARCHAR(100),YES,External system id
target_entity_005,status,VARCHAR(20),NO,Entity status
target_entity_005,amount_cents,BIGINT,YES,Amount in cents
target_entity_005,quantity,INTEGER,YES,Quantity
target_entity_005,parent_id,UUID,YES,Parent reference
target_entity_005,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_005,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_005,metadata,JSONB,YES,Additional metadata
target_entity_005,created_at,TIMESTAMPTZ,NO,Audit
target_entity_005,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_006,id,UUID,NO,Primary key
target_entity_006,name,VARCHAR(255),NO,Display name
target_entity_006,external_id,VARCHAR(100),YES,External system id
target_entity_006,status,VARCHAR(20),NO,Entity status
target_entity_006,amount_cents,BIGINT,YES,Amount in cents
target_entity_006,quantity,INTEGER,YES,Quantity
target_entity_006,parent_id,UUID,YES,Parent reference
target_entity_006,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_006,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_006,metadata,JSONB,YES,Additional metadata
target_entity_006,created_at,TIMESTAMPTZ,NO,Audit
target_entity_006,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_007,id,UUID,NO,Primary key
target_entity_007,name,VARCHAR(255),NO,Display name
target_entity_007,external_id,VARCHAR(100),YES,External system id
target_entity_007,status,VARCHAR(20),NO,Entity status
target_entity_007,amount_cents,BIGINT,YES,Amount in cents
target_entity_007,quantity,INTEGER,YES,Quantity
target_entity_007,parent_id,UUID,YES,Parent reference
target_entity_007,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_007,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_007,metadata,JSONB,YES,Additional metadata
target_entity_007,created_at,TIMESTAMPTZ,NO,Audit
target_entity_007,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_008,id,UUID,NO,Primary key
target_entity_008,name,VARCHAR(255),NO,Display name
target_entity_008,external_id,VARCHAR(100),YES,External system id
target_entity_008,status,VARCHAR(20),NO,Entity status
target_entity_008,amount_cents,BIGINT,YES,Amount in cents
target_entity_008,quantity,INTEGER,YES,Quantity
target_entity_008,parent_id,UUID,YES,Parent reference
target_entity_008,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_008,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_008,metadata,JSONB,YES,Additional metadata
target_entity_008,created_at,TIMESTAMPTZ,NO,Audit
target_entity_008,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_009,id,UUID,NO,Primary key
target_entity_009,name,VARCHAR(255),NO,Display name
target_entity_009,external_id,VARCHAR(100),YES,External system id
target_entity_009,status,VARCHAR(20),NO,Entity status
target_entity_009,amount_cents,BIGINT,YES,Amount in cents
target_entity_009,quantity,INTEGER,YES,Quantity
target_entity_009,parent_id,UUID,YES,Parent reference
target_entity_009,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_009,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_009,metadata,JSONB,YES,Additional metadata
target_entity_009,created_at,TIMESTAMPTZ,NO,Audit
target_entity_009,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_010,id,UUID,NO,Primary key
target_entity_010,name,VARCHAR(255),NO,Display name
target_entity_010,external_id,VARCHAR(100),YES,External system id
target_entity_010,status,VARCHAR(20),NO,Entity status
target_entity_010,amount_cents,BIGINT,YES,Amount in cents
target_entity_010,quantity,INTEGER,YES,Quantity
target_entity_010,parent_id,UUID,YES,Parent reference
target_entity_010,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_010,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_010,metadata,JSONB,YES,Additional metadata
target_entity_010,created_at,TIMESTAMPTZ,NO,Audit
target_entity_010,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_011,id,UUID,NO,Primary key
target_entity_011,name,VARCHAR(255),NO,Display name
target_entity_011,external_id,VARCHAR(100),YES,External system id
target_entity_011,status,VARCHAR(20),NO,Entity status
target_entity_011,amount_cents,BIGINT,YES,Amount in cents
target_entity_011,quantity,INTEGER,YES,Quantity
target_entity_011,parent_id,UUID,YES,Parent reference
target_entity_011,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_011,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_011,metadata,JSONB,YES,Additional metadata
target_entity_011,created_at,TIMESTAMPTZ,NO,Audit
target_entity_011,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_012,id,UUID,NO,Primary key
target_entity_012,name,VARCHAR(255),NO,Display name
target_entity_012,external_id,VARCHAR(100),YES,External system id
target_entity_012,status,VARCHAR(20),NO,Entity status
target_entity_012,amount_cents,BIGINT,YES,Amount in cents
target_entity_012,quantity,INTEGER,YES,Quantity
target_entity_012,parent_id,UUID,YES,Parent reference
target_entity_012,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_012,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_012,metadata,JSONB,YES,Additional metadata
target_entity_012,created_at,TIMESTAMPTZ,NO,Audit
target_entity_012,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_013,id,UUID,NO,Primary key
target_entity_013,name,VARCHAR(255),NO,Display name
target_entity_013,external_id,VARCHAR(100),YES,External system id
target_entity_013,status,VARCHAR(20),NO,Entity status
target_entity_013,amount_cents,BIGINT,YES,Amount in cents
target_entity_013,quantity,INTEGER,YES,Quantity
target_entity_013,parent_id,UUID,YES,Parent reference
target_entity_013,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_013,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_013,metadata,JSONB,YES,Additional metadata
target_entity_013,created_at,TIMESTAMPTZ,NO,Audit
target_entity_013,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_014,id,UUID,NO,Primary key
target_entity_014,name,VARCHAR(255),NO,Display name
target_entity_014,external_id,VARCHAR(100),YES,External system id
target_entity_014,status,VARCHAR(20),NO,Entity status
target_entity_014,amount_cents,BIGINT,YES,Amount in cents
target_entity_014,quantity,INTEGER,YES,Quantity
target_entity_014,parent_id,UUID,YES,Parent reference
target_entity_014,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_014,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_014,metadata,JSONB,YES,Additional metadata
target_entity_014,created_at,TIMESTAMPTZ,NO,Audit
target_entity_014,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_015,id,UUID,NO,Primary key
target_entity_015,name,VARCHAR(255),NO,Display name
target_entity_015,external_id,VARCHAR(100),YES,External system id
target_entity_015,status,VARCHAR(20),NO,Entity status
target_entity_015,amount_cents,BIGINT,YES,Amount in cents
target_entity_015,quantity,INTEGER,YES,Quantity
target_entity_015,parent_id,UUID,YES,Parent reference
target_entity_015,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_015,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_015,metadata,JSONB,YES,Additional metadata
target_entity_015,created_at,TIMESTAMPTZ,NO,Audit
target_entity_015,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_016,id,UUID,NO,Primary key
target_entity_016,name,VARCHAR(255),NO,Display name
target_entity_016,external_id,VARCHAR(100),YES,External system id
target_entity_016,status,VARCHAR(20),NO,Entity status
target_entity_016,amount_cents,BIGINT,YES,Amount in cents
target_entity_016,quantity,INTEGER,YES,Quantity
target_entity_016,parent_id,UUID,YES,Parent reference
target_entity_016,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_016,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_016,metadata,JSONB,YES,Additional metadata
target_entity_016,created_at,TIMESTAMPTZ,NO,Audit
target_entity_016,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_017,id,UUID,NO,Primary key
target_entity_017,name,VARCHAR(255),NO,Display name
target_entity_017,external_id,VARCHAR(100),YES,External system id
target_entity_017,status,VARCHAR(20),NO,Entity status
target_entity_017,amount_cents,BIGINT,YES,Amount in cents
target_entity_017,quantity,INTEGER,YES,Quantity
target_entity_017,parent_id,UUID,YES,Parent reference
target_entity_017,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_017,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_017,metadata,JSONB,YES,Additional metadata
target_entity_017,created_at,TIMESTAMPTZ,NO,Audit
target_entity_017,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_018,id,UUID,NO,Primary key
target_entity_018,name,VARCHAR(255),NO,Display name
target_entity_018,external_id,VARCHAR(100),YES,External system id
target_entity_018,status,VARCHAR(20),NO,Entity status
target_entity_018,amount_cents,BIGINT,YES,Amount in cents
target_entity_018,quantity,INTEGER,YES,Quantity
target_entity_018,parent_id,UUID,YES,Parent reference
target_entity_018,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_018,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_018,metadata,JSONB,YES,Additional metadata
target_entity_018,created_at,TIMESTAMPTZ,NO,Audit
target_entity_018,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_019,id,UUID,NO,Primary key
target_entity_019,name,VARCHAR(255),NO,Display name
target_entity_019,external_id,VARCHAR(100),YES,External system id
target_entity_019,status,VARCHAR(20),NO,Entity status
target_entity_019,amount_cents,BIGINT,YES,Amount in cents
target_entity_019,quantity,INTEGER,YES,Quantity
target_entity_019,parent_id,UUID,YES,Parent reference
target_entity_019,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_019,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_019,metadata,JSONB,YES,Additional metadata
target_entity_019,created_at,TIMESTAMPTZ,NO,Audit
target_entity_019,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_020,id,UUID,NO,Primary key
target_entity_020,name,VARCHAR(255),NO,Display name
target_entity_020,external_id,VARCHAR(100),YES,External system id
target_entity_020,status,VARCHAR(20),NO,Entity status
target_entity_020,amount_cents,BIGINT,YES,Amount in cents
target_entity_020,quantity,INTEGER,YES,Quantity
target_entity_020,parent_id,UUID,YES,Parent reference
target_entity_020,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_020,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_020,metadata,JSONB,YES,Additional metadata
target_entity_020,created_at,TIMESTAMPTZ,NO,Audit
target_entity_020,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_021,id,UUID,NO,Primary key
target_entity_021,name,VARCHAR(255),NO,Display name
target_entity_021,external_id,VARCHAR(100),YES,External system id
target_entity_021,status,VARCHAR(20),NO,Entity status
target_entity_021,amount_cents,BIGINT,YES,Amount in cents
target_entity_021,quantity,INTEGER,YES,Quantity
target_entity_021,parent_id,UUID,YES,Parent reference
target_entity_021,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_021,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_021,metadata,JSONB,YES,Additional metadata
target_entity_021,created_at,TIMESTAMPTZ,NO,Audit
target_entity_021,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_022,id,UUID,NO,Primary key
target_entity_022,name,VARCHAR(255),NO,Display name
target_entity_022,external_id,VARCHAR(100),YES,External system id
target_entity_022,status,VARCHAR(20),NO,Entity status
target_entity_022,amount_cents,BIGINT,YES,Amount in cents
target_entity_022,quantity,INTEGER,YES,Quantity
target_entity_022,parent_id,UUID,YES,Parent reference
target_entity_022,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_022,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_022,metadata,JSONB,YES,Additional metadata
target_entity_022,created_at,TIMESTAMPTZ,NO,Audit
target_entity_022,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_023,id,UUID,NO,Primary key
target_entity_023,name,VARCHAR(255),NO,Display name
target_entity_023,external_id,VARCHAR(100),YES,External system id
target_entity_023,status,VARCHAR(20),NO,Entity status
target_entity_023,amount_cents,BIGINT,YES,Amount in cents
target_entity_023,quantity,INTEGER,YES,Quantity
target_entity_023,parent_id,UUID,YES,Parent reference
target_entity_023,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_023,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_023,metadata,JSONB,YES,Additional metadata
target_entity_023,created_at,TIMESTAMPTZ,NO,Audit
target_entity_023,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_024,id,UUID,NO,Primary key
target_entity_024,name,VARCHAR(255),NO,Display name
target_entity_024,external_id,VARCHAR(100),YES,External system id
target_entity_024,status,VARCHAR(20),NO,Entity status
target_entity_024,amount_cents,BIGINT,YES,Amount in cents
target_entity_024,quantity,INTEGER,YES,Quantity
target_entity_024,parent_id,UUID,YES,Parent reference
target_entity_024,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_024,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_024,metadata,JSONB,YES,Additional metadata
target_entity_024,created_at,TIMESTAMPTZ,NO,Audit
target_entity_024,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_025,id,UUID,NO,Primary key
target_entity_025,name,VARCHAR(255),NO,Display name
target_entity_025,external_id,VARCHAR(100),YES,External system id
target_entity_025,status,VARCHAR(20),NO,Entity status
target_entity_025,amount_cents,BIGINT,YES,Amount in cents
target_entity_025,quantity,INTEGER,YES,Quantity
target_entity_025,parent_id,UUID,YES,Parent reference
target_entity_025,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_025,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_025,metadata,JSONB,YES,Additional metadata
target_entity_025,created_at,TIMESTAMPTZ,NO,Audit
target_entity_025,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_026,id,UUID,NO,Primary key
target_entity_026,name,VARCHAR(255),NO,Display name
target_entity_026,external_id,VARCHAR(100),YES,External system id
target_entity_026,status,VARCHAR(20),NO,Entity status
target_entity_026,amount_cents,BIGINT,YES,Amount in cents
target_entity_026,quantity,INTEGER,YES,Quantity
target_entity_026,parent_id,UUID,YES,Parent reference
target_entity_026,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_026,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_026,metadata,JSONB,YES,Additional metadata
target_entity_026,created_at,TIMESTAMPTZ,NO,Audit
target_entity_026,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_027,id,UUID,NO,Primary key
target_entity_027,name,VARCHAR(255),NO,Display name
target_entity_027,external_id,VARCHAR(100),YES,External system id
target_entity_027,status,VARCHAR(20),NO,Entity status
target_entity_027,amount_cents,BIGINT,YES,Amount in cents
target_entity_027,quantity,INTEGER,YES,Quantity
target_entity_027,parent_id,UUID,YES,Parent reference
target_entity_027,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_027,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_027,metadata,JSONB,YES,Additional metadata
target_entity_027,created_at,TIMESTAMPTZ,NO,Audit
target_entity_027,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_028,id,UUID,NO,Primary key
target_entity_028,name,VARCHAR(255),NO,Display name
target_entity_028,external_id,VARCHAR(100),YES,External system id
target_entity_028,status,VARCHAR(20),NO,Entity status
target_entity_028,amount_cents,BIGINT,YES,Amount in cents
target_entity_028,quantity,INTEGER,YES,Quantity
target_entity_028,parent_id,UUID,YES,Parent reference
target_entity_028,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_028,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_028,metadata,JSONB,YES,Additional metadata
target_entity_028,created_at,TIMESTAMPTZ,NO,Audit
target_entity_028,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_029,id,UUID,NO,Primary key
target_entity_029,name,VARCHAR(255),NO,Display name
target_entity_029,external_id,VARCHAR(100),YES,External system id
target_entity_029,status,VARCHAR(20),NO,Entity status
target_entity_029,amount_cents,BIGINT,YES,Amount in cents
target_entity_029,quantity,INTEGER,YES,Quantity
target_entity_029,parent_id,UUID,YES,Parent reference
target_entity_029,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_029,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_029,metadata,JSONB,YES,Additional metadata
target_entity_029,created_at,TIMESTAMPTZ,NO,Audit
target_entity_029,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_030,id,UUID,NO,Primary key
target_entity_030,name,VARCHAR(255),NO,Display name
target_entity_030,external_id,VARCHAR(100),YES,External system id
target_entity_030,status,VARCHAR(20),NO,Entity status
target_entity_030,amount_cents,BIGINT,YES,Amount in cents
target_entity_030,quantity,INTEGER,YES,Quantity
target_entity_030,parent_id,UUID,YES,Parent reference
target_entity_030,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_030,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_030,metadata,JSONB,YES,Additional metadata
target_entity_030,created_at,TIMESTAMPTZ,NO,Audit
target_entity_030,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_031,id,UUID,NO,Primary key
target_entity_031,name,VARCHAR(255),NO,Display name
target_entity_031,external_id,VARCHAR(100),YES,External system id
target_entity_031,status,VARCHAR(20),NO,Entity status
target_entity_031,amount_cents,BIGINT,YES,Amount in cents
target_entity_031,quantity,INTEGER,YES,Quantity
target_entity_031,parent_id,UUID,YES,Parent reference
target_entity_031,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_031,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_031,metadata,JSONB,YES,Additional metadata
target_entity_031,created_at,TIMESTAMPTZ,NO,Audit
target_entity_031,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_032,id,UUID,NO,Primary key
target_entity_032,name,VARCHAR(255),NO,Display name
target_entity_032,external_id,VARCHAR(100),YES,External system id
target_entity_032,status,VARCHAR(20),NO,Entity status
target_entity_032,amount_cents,BIGINT,YES,Amount in cents
target_entity_032,quantity,INTEGER,YES,Quantity
target_entity_032,parent_id,UUID,YES,Parent reference
target_entity_032,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_032,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_032,metadata,JSONB,YES,Additional metadata
target_entity_032,created_at,TIMESTAMPTZ,NO,Audit
target_entity_032,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_033,id,UUID,NO,Primary key
target_entity_033,name,VARCHAR(255),NO,Display name
target_entity_033,external_id,VARCHAR(100),YES,External system id
target_entity_033,status,VARCHAR(20),NO,Entity status
target_entity_033,amount_cents,BIGINT,YES,Amount in cents
target_entity_033,quantity,INTEGER,YES,Quantity
target_entity_033,parent_id,UUID,YES,Parent reference
target_entity_033,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_033,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_033,metadata,JSONB,YES,Additional metadata
target_entity_033,created_at,TIMESTAMPTZ,NO,Audit
target_entity_033,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_034,id,UUID,NO,Primary key
target_entity_034,name,VARCHAR(255),NO,Display name
target_entity_034,external_id,VARCHAR(100),YES,External system id
target_entity_034,status,VARCHAR(20),NO,Entity status
target_entity_034,amount_cents,BIGINT,YES,Amount in cents
target_entity_034,quantity,INTEGER,YES,Quantity
target_entity_034,parent_id,UUID,YES,Parent reference
target_entity_034,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_034,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_034,metadata,JSONB,YES,Additional metadata
target_entity_034,created_at,TIMESTAMPTZ,NO,Audit
target_entity_034,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_035,id,UUID,NO,Primary key
target_entity_035,name,VARCHAR(255),NO,Display name
target_entity_035,external_id,VARCHAR(100),YES,External system id
target_entity_035,status,VARCHAR(20),NO,Entity status
target_entity_035,amount_cents,BIGINT,YES,Amount in cents
target_entity_035,quantity,INTEGER,YES,Quantity
target_entity_035,parent_id,UUID,YES,Parent reference
target_entity_035,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_035,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_035,metadata,JSONB,YES,Additional metadata
target_entity_035,created_at,TIMESTAMPTZ,NO,Audit
target_entity_035,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_036,id,UUID,NO,Primary key
target_entity_036,name,VARCHAR(255),NO,Display name
target_entity_036,external_id,VARCHAR(100),YES,External system id
target_entity_036,status,VARCHAR(20),NO,Entity status
target_entity_036,amount_cents,BIGINT,YES,Amount in cents
target_entity_036,quantity,INTEGER,YES,Quantity
target_entity_036,parent_id,UUID,YES,Parent reference
target_entity_036,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_036,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_036,metadata,JSONB,YES,Additional metadata
target_entity_036,created_at,TIMESTAMPTZ,NO,Audit
target_entity_036,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_037,id,UUID,NO,Primary key
target_entity_037,name,VARCHAR(255),NO,Display name
target_entity_037,external_id,VARCHAR(100),YES,External system id
target_entity_037,status,VARCHAR(20),NO,Entity status
target_entity_037,amount_cents,BIGINT,YES,Amount in cents
target_entity_037,quantity,INTEGER,YES,Quantity
target_entity_037,parent_id,UUID,YES,Parent reference
target_entity_037,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_037,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_037,metadata,JSONB,YES,Additional metadata
target_entity_037,created_at,TIMESTAMPTZ,NO,Audit
target_entity_037,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_038,id,UUID,NO,Primary key
target_entity_038,name,VARCHAR(255),NO,Display name
target_entity_038,external_id,VARCHAR(100),YES,External system id
target_entity_038,status,VARCHAR(20),NO,Entity status
target_entity_038,amount_cents,BIGINT,YES,Amount in cents
